[2022-02-19 20:47:17] MYD04_3K.A2002236.0745.061.2018004053816.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:48:19] MYD04_3K.A2002236.0835.061.2018004053820.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:48:19] MYD04_3K.A2002236.0925.061.2018004053920.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:49:06] MYD04_3K.A2002236.1000.061.2018004054100.hdf, error: x and y arguments to pcolormesh cannot have non-finite values or be of type numpy.ma.core.MaskedArray with masked values
[2022-02-19 20:49:11] MYD04_3K.A2002236.1005.061.2018004054103.hdf, error: x and y arguments to pcolormesh cannot have non-finite values or be of type numpy.ma.core.MaskedArray with masked values
[2022-02-19 20:49:16] MYD04_3K.A2002236.1010.061.2018004054049.hdf, error: x and y arguments to pcolormesh cannot have non-finite values or be of type numpy.ma.core.MaskedArray with masked values
[2022-02-19 20:50:21] MYD04_3K.A2002236.1240.061.2018004054030.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:51:20] MYD04_3K.A2002236.1330.061.2018004054132.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:51:20] MYD04_3K.A2002236.1420.061.2018004054142.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:52:17] MYD04_3K.A2002236.1510.061.2018004054234.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:52:18] MYD04_3K.A2002236.1600.061.2018004054311.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:53:15] MYD04_3K.A2002236.1650.061.2018004054316.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:54:27] MYD04_3K.A2002236.1915.061.2018004054440.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:55:41] MYD04_3K.A2002236.2055.061.2018004054525.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:57:52] MYD04_3K.A2002236.2325.061.2018004054625.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 20:59:52] MYD04_3K.A2002237.0330.061.2018004054807.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:00:58] MYD04_3K.A2002237.0510.061.2018004054912.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:02:00] MYD04_3K.A2002237.0600.061.2018004054947.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:03:04] MYD04_3K.A2002237.0740.061.2018004055021.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:04:08] MYD04_3K.A2002237.1005.061.2018004055108.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:05:16] MYD04_3K.A2002237.1145.061.2018004055304.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:06:21] MYD04_3K.A2002237.1235.061.2018004055331.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:06:21] MYD04_3K.A2002237.1325.061.2018004055322.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:07:23] MYD04_3K.A2002237.1415.061.2018004055402.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:07:23] MYD04_3K.A2002237.1505.061.2018004055449.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:09:33] MYD04_3K.A2002237.1820.061.2018004055521.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:10:53] MYD04_3K.A2002237.2000.061.2018004055629.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:12:03] MYD04_3K.A2002237.2050.061.2018004055651.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:13:06] MYD04_3K.A2002237.2230.061.2018004055808.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:14:06] MYD04_3K.A2002238.0055.061.2018004055856.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:15:07] MYD04_3K.A2002238.0235.061.2018004060011.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:17:18] MYD04_3K.A2002238.0505.061.2018004060153.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:19:30] MYD04_3K.A2002238.0910.061.2018004060322.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:20:32] MYD04_3K.A2002238.1000.061.2018004060357.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:20:32] MYD04_3K.A2002238.1050.061.2018004060422.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:21:39] MYD04_3K.A2002238.1140.061.2018004060430.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:21:39] MYD04_3K.A2002238.1230.061.2018004060508.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:23:44] MYD04_3K.A2002238.1545.061.2018004060618.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:24:53] MYD04_3K.A2002238.1725.061.2018004060716.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:26:05] MYD04_3K.A2002238.1815.061.2018004060751.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:26:05] MYD04_3K.A2002238.1905.061.2018004060847.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:27:19] MYD04_3K.A2002238.1955.061.2018004060845.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:29:29] MYD04_3K.A2002239.0000.061.2018004061047.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:30:30] MYD04_3K.A2002239.0140.061.2018004061220.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:31:25] MYD04_3K.A2002239.0230.061.2018004061210.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:33:34] MYD04_3K.A2002239.0635.061.2018004061340.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:34:18] MYD04_3K.A2002239.0710.061.2018004061525.hdf, error: 'vertices' must be a 2D list or array with shape Nx2
[2022-02-19 21:34:40] MYD04_3K.A2002239.0815.061.2018004061442.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:35:40] MYD04_3K.A2002239.0905.061.2018004061458.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:35:40] MYD04_3K.A2002239.0955.061.2018004061550.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:36:44] MYD04_3K.A2002239.1045.061.2018004061553.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:38:55] MYD04_3K.A2002239.1450.061.2018004061729.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:39:55] MYD04_3K.A2002239.1540.061.2018004061810.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:39:55] MYD04_3K.A2002239.1630.061.2018004061918.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:41:05] MYD04_3K.A2002239.1720.061.2018004061856.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:43:34] MYD04_3K.A2002239.2125.061.2018004062200.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:44:33] MYD04_3K.A2002239.2215.061.2018004062229.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:44:34] MYD04_3K.A2002239.2305.061.2018004062234.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:45:28] MYD04_3K.A2002239.2355.061.2018004062310.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:46:30] MYD04_3K.A2002240.0135.061.2018004062339.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:47:29] MYD04_3K.A2002240.0400.061.2018004062445.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:48:35] MYD04_3K.A2002240.0540.061.2018004062531.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:49:45] MYD04_3K.A2002240.0720.061.2018004062631.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:50:49] MYD04_3K.A2002240.0810.061.2018004062637.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:53:01] MYD04_3K.A2002240.1215.061.2018004062907.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:54:04] MYD04_3K.A2002240.1305.061.2018004062917.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:54:04] MYD04_3K.A2002240.1355.061.2018004062935.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:55:04] MYD04_3K.A2002240.1445.061.2018004063037.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:55:04] MYD04_3K.A2002240.1535.061.2018004063108.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:56:08] MYD04_3K.A2002240.1625.061.2018004063104.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:57:25] MYD04_3K.A2002240.1850.061.2018004063207.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 21:58:41] MYD04_3K.A2002240.2030.061.2018004063331.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:00:57] MYD04_3K.A2002240.2300.061.2018004063436.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:02:58] MYD04_3K.A2002241.0305.061.2018004063655.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:04:02] MYD04_3K.A2002241.0445.061.2018004063747.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:05:06] MYD04_3K.A2002241.0535.061.2018004063740.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:06:14] MYD04_3K.A2002241.0715.061.2018004063817.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:07:17] MYD04_3K.A2002241.0940.061.2018004063938.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:08:24] MYD04_3K.A2002241.1120.061.2018004064026.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:09:28] MYD04_3K.A2002241.1210.061.2018004064054.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:09:28] MYD04_3K.A2002241.1300.061.2018004064142.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:10:30] MYD04_3K.A2002241.1350.061.2018004064135.hdf, error: autodetected range of [nan, nan] is not finite
[2022-02-19 22:10:30] MYD04_3K.A2002241.1440.061.2018004064300.hdf, error: autodetected range of [nan, nan] is not finite
